PLACE,indicator,Strongly_D,Moderate,Agree,Strongly_A,Total,pct_agree,lat,lon
Kangkar Pulai,Participate in Smart City Initiatives,0,2,0,1,3,33.3,1.557623346255399,103.5900325818511
Mutiara Rini,Participate in Smart City Initiatives,0,0,1,0,1,100.0,1.5078355041694056,103.62959825945602
Kampung Melayu Batu Skudai,Participate in Smart City Initiatives,2,0,10,14,26,92.3,1.5375311775221678,103.66057884175193
Kampung Teluk Serdang,Participate in Smart City Initiatives,0,0,1,0,1,100.0,1.497540820206339,103.6842046362624
Kampung Pasir,Participate in Smart City Initiatives,0,1,0,1,2,50.0,1.4945853313486772,103.6885092299382
Kampung Pasir Tampoi,Participate in Smart City Initiatives,0,0,1,0,1,100.0,1.489528976711252,103.69234611081013
Kampung Sungai Melayu,Participate in Smart City Initiatives,0,0,0,1,1,100.0,1.4727686482514186,103.69618299168198
Kota Iskandar,Participate in Smart City Initiatives,1,0,10,9,20,95.0,1.4217283625881747,103.65186469287806
Medini,Participate in Smart City Initiatives,0,0,1,1,2,100.0,1.4081059483297786,103.62848648849575
Kampung Bukit Kucing,Participate in Smart City Initiatives,0,0,2,0,2,100.0,1.390854856037487,103.60100371387837
Kampung Ladang,Participate in Smart City Initiatives,1,1,21,26,49,95.9,1.3664653807276952,103.62039632107592
Kampung Pendas,Participate in Smart City Initiatives,0,0,3,2,5,100.0,1.369439706984987,103.62753470409342
Kampung Pok Besar,Participate in Smart City Initiatives,0,0,2,2,4,100.0,1.361944404816612,103.58708386699425
Kampung Pok Kecil,Participate in Smart City Initiatives,0,0,1,0,1,100.0,1.361230566514862,103.5806593222785
Kampung Pok,Participate in Smart City Initiatives,0,0,3,4,7,100.0,1.3539732104470705,103.5778039690715
Kampung Tanjong Adang,Participate in Smart City Initiatives,0,1,0,4,5,80.0,1.35376500760906,103.567810232847
Kampung Pekajang,Participate in Smart City Initiatives,3,0,16,36,55,94.5,1.3582264969949973,103.5627538782096
Kampung Tiram Duku,Participate in Smart City Initiatives,0,0,3,0,3,100.0,1.3850020006229986,103.5802827126119
Kampung Simpang Arang,Participate in Smart City Initiatives,0,0,3,1,4,100.0,1.411161406593094,103.56791179966416
